content,month_str,value
Rounds: angel,2009-11,23
Rounds: angel,2009-12,29
Rounds: angel,2010-01,29
Rounds: angel,2010-02,20
Rounds: angel,2010-03,35
Rounds: angel,2010-04,26
Rounds: angel,2010-05,25
Rounds: angel,2010-06,31
Rounds: angel,2010-07,26
Rounds: angel,2010-08,25
Rounds: angel,2010-09,34
Rounds: angel,2010-10,48
Rounds: angel,2010-11,41
Rounds: angel,2010-12,26
Rounds: angel,2011-01,39
Rounds: angel,2011-02,34
Rounds: angel,2011-03,39
Rounds: angel,2011-04,49
Rounds: angel,2011-05,51
Rounds: angel,2011-06,42
Rounds: angel,2011-07,56
Rounds: angel,2011-08,48
Rounds: angel,2011-09,51
Rounds: angel,2011-10,34
Rounds: angel,2011-11,49
Rounds: angel,2011-12,29
Rounds: angel,2012-01,53
Rounds: angel,2012-02,38
Rounds: angel,2012-03,36
Rounds: angel,2012-04,45
Rounds: angel,2012-05,46
Rounds: angel,2012-06,72
Rounds: angel,2012-07,51
Rounds: angel,2012-08,64
Rounds: angel,2012-09,42
Rounds: angel,2012-10,48
Rounds: angel,2012-11,49
Rounds: angel,2012-12,30
Rounds: angel,2013-01,47
Rounds: angel,2013-02,57
Rounds: angel,2013-03,56
Rounds: angel,2013-04,72
Rounds: angel,2013-05,65
Rounds: angel,2013-06,80
Rounds: angel,2013-07,86
Rounds: angel,2013-08,69
Rounds: angel,2013-09,72
Rounds: angel,2013-10,79
Rounds: angel,2013-11,106
Rounds: angel,2013-12,68
Rounds: angel,2014-01,116
Rounds: angel,2014-02,106
Rounds: angel,2014-03,133
Rounds: angel,2014-04,92
Rounds: angel,2014-05,115
Rounds: angel,2014-06,142
Rounds: angel,2014-07,220
Rounds: angel,2014-08,116
Rounds: angel,2014-09,121
Rounds: angel,2014-10,95
Rounds: angel,2014-11,29
Rounds: convertible_note,2008-05,1
Rounds: convertible_note,2009-12,3
Rounds: convertible_note,2010-02,1
Rounds: convertible_note,2010-03,1
Rounds: convertible_note,2010-11,1
Rounds: convertible_note,2011-05,1
Rounds: convertible_note,2011-06,1
Rounds: convertible_note,2011-07,1
Rounds: convertible_note,2011-10,1
Rounds: convertible_note,2012-01,1
Rounds: convertible_note,2012-04,1
Rounds: convertible_note,2012-05,2
Rounds: convertible_note,2012-07,2
